Compound,Similarity,Smiles,,,,Smiles
CHEMBL7459,1, CC(C)NCC(O)COC(=O)C1=CC=CC(=C1)[N+]([O-])=O,,,,
CHEMBL7434,1, CC(C)NCC(O)COC(=O)C1=CC=C(NC(C)=O)C=C1,,,,
CHEMBL4553714,1, CC(C)CCCC(C)CCOC1=C[N+](CC(O)(P(O)(O)=O)P(O)(O)=O)=CC=C1,,,,
CHEMBL4553712,1, CN(CC(F)(F)F)C(=O)CN1CCCC(CCO)C1,,,,
CHEMBL7951,1, CCCCCCCCCCCCC1=C(OCCCC(C)(C)C(O)=O)C=C(OCCCC(C)(C)C(O)=O)C=C1,,,,
CHEMBL7566,1, CC(C)(CCCOC1=CC(Cl)=C(OCCCC(C)(C)C(O)=O)C=C1Cl)C(O)=O,,,,
CHEMBL7605,1, C[C@@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7476,1, CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H](CO)O1,,,,
CHEMBL7545,1, CCCC(O)C1=C(OCCCC(C)(C)C(O)=O)C=CC(OCCCC(C)(C)C(O)=O)=C1,,,,
CHEMBL7521,1, NC(CCC(=O)NC1=C(O)C=CC=C1)C(O)=O,,,,
CHEMBL7386,1, CC1=C(C=CC(=C1)[N+]([O-])=O)C(=O)OCC(O)CNC(C)(C)C,,,,
CHEMBL4553581,1, CCCCCCCC(C)(O)\\C=C\\[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)OC,,,,
CHEMBL7362,1, CNC(=O)NCC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL7561,1, OC(=O)C[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7625,1, COC(=O)C(C)(C)CCCOC1=CC(OCCCC(C)(C)C(=O)OC)=C(C=O)C=C1,,,,
CHEMBL7604,1, CC1=CC(SCCCC(C)(C)C(O)=O)=C(C)C=C1OCCCC(C)(C)C(O)=O,,,,
CHEMBL1163180,1, CCN(CC)C(=S)SC(CC(C)=O)C1=CC=CC=C1,,,,
CHEMBL1163195,1, CCOC(=O)\\C=C/OC1=CC=CC=C1C,,,,
CHEMBL7467,1, CC(C)(CNC(N)=O)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL7694,1, CC(C)NCC(O)COC(=O)C1=CC=C(C=C1)C#N,,,,
CHEMBL7692,1, CC(C)(C)NCC(O)COC(=O)C1=CC(O)=CC=C1,,,,
CHEMBL7557,1, COC(=O)C(C)(C)CCCOC1=CC=CC(OC)=C1OCCCC(C)(C)C(=O)OC,,,,
CHEMBL7622,1, CC(C)NCC(O)COC(=O)C1=C(Cl)C=CC=C1,,,,
CHEMBL4553561,1, OCC1=C(Cl)N=CS1,,,,
